"filename", "language", "XML", "JavaScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/roleSelect/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/roleSelect/roleSelect.css", "CSS", 0, 0, 6, 0, 1, 0, 7
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/roleSelect/roleSelect.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 4, 29
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/sbt/index.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/sbt/sbt.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/sbt/sbt.module.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/searchbar/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/searchbar/searchbar.jsx", "JavaScript JSX", 0, 20, 0, 0, 4, 2, 26
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/searchbar/searchbar.module.css", "CSS", 0, 0, 18, 0, 0, 3, 21
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/sidebar/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/sidebar/sidebar.jsx", "JavaScript JSX", 0, 217, 0, 0, 104, 19, 340
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/sidebar/sidebar.module.css", "CSS", 0, 0, 67, 0, 3, 20, 90
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/successMessage/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/successMessage/successMessage.jsx", "JavaScript JSX", 0, 62, 0, 0, 2, 26, 90
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/successMessage/successMessage.module.css", "CSS", 0, 0, 32, 0, 0, 10, 42
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/table/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/table/table.jsx", "JavaScript JSX", 0, 116, 0, 0, 36, 21, 173
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/table/table.module.css", "CSS", 0, 0, 51, 0, 36, 11, 98
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/textbox/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/textbox/textbox.css", "CSS", 0, 0, 32, 0, 8, 6, 46
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/textbox/textbox.jsx", "JavaScript JSX", 0, 49, 0, 0, 20, 8, 77
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/topBar/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/topBar/topBar.jsx", "JavaScript JSX", 0, 37, 0, 0, 4, 7, 48
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/components/topBar/topBar.module.css", "CSS", 0, 0, 26, 0, 0, 8, 34
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/context/Auth.js", "JavaScript", 0, 0, 0, 13, 0, 5, 18
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/context/index.js", "JavaScript", 0, 0, 0, 1, 0, 1, 2
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/hooks/UseAuth.js", "JavaScript", 0, 0, 0, 6, 0, 3, 9
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/hooks/index.js", "JavaScript", 0, 0, 0, 1, 0, 1, 2
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/Arrow/Arrow.js", "JavaScript", 0, 0, 0, 7, 0, 2, 9
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/Arrow/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/Calendar/Calendar.js", "JavaScript", 0, 0, 0, 13, 0, 3, 16
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/Calendar/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/Circle/Circle.js", "JavaScript", 0, 0, 0, 34, 0, 3, 37
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/Circle/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/CreateIcon/createIcon.js", "JavaScript", 0, 0, 0, 8, 0, 3, 11
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/CreateIcon/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/DashboardIcon/dashboardIcon.js", "JavaScript", 0, 0, 0, 7, 0, 2, 9
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/DashboardIcon/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/Dots/dots.js", "JavaScript", 0, 0, 0, 7, 0, 2, 9
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/Dots/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/DoubleCheck/doubleCheck.js", "JavaScript", 0, 0, 0, 47, 0, 4, 51
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/DoubleCheck/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/ExploreIcon/exploreIcon.js", "JavaScript", 0, 0, 0, 7, 0, 2, 9
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/ExploreIcon/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/ImageIcon/imageIcon.js", "JavaScript", 0, 0, 0, 9, 0, 2, 11
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/ImageIcon/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/MyGroupsIcon/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/MyGroupsIcon/myGroupsIcon.js", "JavaScript", 0, 0, 0, 9, 0, 2, 11
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/ProfileIcon/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
